Target Distance: 100, Step Size: 2
1317: (x, y) = (-16.3015, -45.9609)
1318: (x, y) = (-17.1149, -47.788)
1319: (x, y) = (-15.4969, -46.6124)
1320: (x, y) = (-13.6175, -45.9284)
1321: (x, y) = (-14.3015, -47.8078)
1322: (x, y) = (-16.2939, -47.6335)
1323: (x, y) = (-14.4146, -46.9494)
1324: (x, y) = (-14.5541, -48.9445)
1325: (x, y) = (-16.3812, -48.1311)
1326: (x, y) = (-16.6249, -50.1162)
1327: (x, y) = (-15.2356, -51.5548)
1328: (x, y) = (-15.4099, -49.5625)
1329: (x, y) = (-14.2915, -51.2205)
1330: (x, y) = (-13.0879, -52.8178)
1331: (x, y) = (-15.0769, -52.6087)
1332: (x, y) = (-17.072, -52.7483)
1333: (x, y) = (-15.3062, -51.8093)
1334: (x, y) = (-15.0971, -53.7984)
1335: (x, y) = (-13.2061, -54.4495)
1336: (x, y) = (-13.3107, -56.4468)
1337: (x, y) = (-11.4836, -57.2602)
1338: (x, y) = (-12.1677, -59.1396)
1339: (x, y) = (-13.722, -57.881)
1340: (x, y) = (-15.722, -57.881)
1341: (x, y) = (-14.722, -56.1489)
1342: (x, y) = (-15.9256, -57.7462)
1343: (x, y) = (-14.3935, -59.0318)
1344: (x, y) = (-14.4982, -57.0345)
1345: (x, y) = (-15.9369, -55.6452)
1346: (x, y) = (-16.588, -57.5362)
1347: (x, y) = (-18.588, -57.5362)
1348: (x, y) = (-20.5286, -57.0524)
1349: (x, y) = (-21.9913, -55.6884)
1350: (x, y) = (-21.9215, -53.6896)
1351: (x, y) = (-20.8617, -51.9935)
1352: (x, y) = (-19.0796, -51.0855)
1353: (x, y) = (-20.5183, -49.6962)
1354: (x, y) = (-19.2328, -51.2283)
1355: (x, y) = (-21.1646, -50.7107)
1356: (x, y) = (-23.0871, -50.1594)
1357: (x, y) = (-22.9128, -48.167)
1358: (x, y) = (-20.9323, -48.4453)
1359: (x, y) = (-22.2705, -46.9591)
1360: (x, y) = (-20.5385, -45.9591)
1361: (x, y) = (-19.5689, -47.7083)
1362: (x, y) = (-21.5677, -47.6385)
1363: (x, y) = (-23.2257, -48.7569)
1364: (x, y) = (-25.1168, -49.408)
1365: (x, y) = (-25.2563, -47.4129)
1366: (x, y) = (-27.1788, -47.9642)
1367: (x, y) = (-25.3116, -48.6809)
1368: (x, y) = (-24.6276, -46.8015)
1369: (x, y) = (-23.1413, -48.1398)
1370: (x, y) = (-24.1413, -46.4077)
1371: (x, y) = (-25.2306, -44.7304)
1372: (x, y) = (-25.9146, -46.6098)
1373: (x, y) = (-23.9295, -46.8535)
1374: (x, y) = (-23.6858, -44.8684)
1375: (x, y) = (-25.3241, -46.0156)
1376: (x, y) = (-23.3244, -45.9807)
1377: (x, y) = (-21.5268, -46.8574)
1378: (x, y) = (-21.6315, -48.8547)
1379: (x, y) = (-20.0772, -47.596)
1380: (x, y) = (-18.1646, -48.1808)
1381: (x, y) = (-19.5028, -49.6671)
1382: (x, y) = (-19.7466, -47.682)
1383: (x, y) = (-20.6546, -49.464)
1384: (x, y) = (-18.6594, -49.3245)
1385: (x, y) = (-18.3466, -51.2998)
1386: (x, y) = (-17.9993, -53.2695)
1387: (x, y) = (-16.4672, -51.9839)
1388: (x, y) = (-14.4721, -51.8444)
1389: (x, y) = (-14.4023, -53.8432)
1390: (x, y) = (-16.3828, -53.5648)
1391: (x, y) = (-14.7247, -52.4464)
1392: (x, y) = (-14.5157, -50.4574)
1393: (x, y) = (-15.9784, -51.8214)
1394: (x, y) = (-17.0084, -50.107)
1395: (x, y) = (-16.5585, -52.0558)
1396: (x, y) = (-15.0958, -53.4198)
1397: (x, y) = (-13.6331, -54.7838)
1398: (x, y) = (-13.9115, -56.7643)
1399: (x, y) = (-14.2588, -58.7339)
1400: (x, y) = (-15.9361, -57.6446)
1401: (x, y) = (-16.4874, -59.5672)
1402: (x, y) = (-14.6464, -58.7857)
1403: (x, y) = (-14.6464, -60.7857)
1404: (x, y) = (-15.616, -59.0365)
1405: (x, y) = (-16.1673, -57.1139)
1406: (x, y) = (-17.3144, -55.4756)
1407: (x, y) = (-15.3339, -55.754)
1408: (x, y) = (-13.9956, -57.2403)
1409: (x, y) = (-12.3183, -56.151)
1410: (x, y) = (-12.562, -58.1361)
1411: (x, y) = (-11.7168, -59.9487)
1412: (x, y) = (-12.0297, -61.9241)
1413: (x, y) = (-10.0297, -61.9241)
1414: (x, y) = (-12.0284, -61.8543)
1415: (x, y) = (-13.4911, -60.4903)
1416: (x, y) = (-13.1783, -62.4657)
1417: (x, y) = (-11.429, -63.4353)
1418: (x, y) = (-10.1169, -61.9259)
1419: (x, y) = (-9.63308, -63.8665)
1420: (x, y) = (-10.5411, -65.6485)
1421: (x, y) = (-10.6806, -63.6533)
1422: (x, y) = (-12.6502, -64.0006)
1423: (x, y) = (-10.9728, -65.0899)
1424: (x, y) = (-9.51014, -66.4539)
1425: (x, y) = (-8.19802, -67.9633)
1426: (x, y) = (-9.2873, -66.286)
1427: (x, y) = (-9.14779, -68.2811)
1428: (x, y) = (-10.6799, -66.9955)
1429: (x, y) = (-11.1298, -68.9443)
1430: (x, y) = (-13.1188, -68.7352)
1431: (x, y) = (-14.9982, -68.0512)
1432: (x, y) = (-16.7641, -67.1122)
1433: (x, y) = (-16.0474, -65.2451)
1434: (x, y) = (-15.3633, -63.3657)
1435: (x, y) = (-16.9606, -62.1621)
1436: (x, y) = (-18.953, -61.9878)
1437: (x, y) = (-20.8848, -62.5054)
1438: (x, y) = (-18.9043, -62.227)
1439: (x, y) = (-20.1079, -60.6298)
1440: (x, y) = (-20.4552, -58.6602)
1441: (x, y) = (-20.4203, -60.6599)
1442: (x, y) = (-19.5751, -62.4725)
1443: (x, y) = (-20.7787, -64.0697)
1444: (x, y) = (-22.3967, -62.8942)
1445: (x, y) = (-20.4649, -63.4118)
1446: (x, y) = (-18.4953, -63.0645)
1447: (x, y) = (-17.65, -64.8771)
1448: (x, y) = (-16.2114, -66.2664)
1449: (x, y) = (-15.4622, -68.1208)
1450: (x, y) = (-15.4971, -66.1211)
1451: (x, y) = (-17.3764, -66.8052)
1452: (x, y) = (-15.5789, -65.9284)
1453: (x, y) = (-15.163, -67.8847)
1454: (x, y) = (-13.6087, -66.6261)
1455: (x, y) = (-11.6961, -67.2108)
1456: (x, y) = (-12.8998, -68.8081)
1457: (x, y) = (-14.8019, -68.1901)
1458: (x, y) = (-15.2518, -70.1388)
1459: (x, y) = (-16.0652, -71.9659)
1460: (x, y) = (-15.0652, -70.2338)
1461: (x, y) = (-13.9469, -71.8919)
1462: (x, y) = (-12.5575, -70.4532)
1463: (x, y) = (-12.3485, -68.4642)
1464: (x, y) = (-10.3997, -68.0143)
1465: (x, y) = (-11.2765, -66.2167)
1466: (x, y) = (-11.5894, -64.2413)
1467: (x, y) = (-10.6197, -62.4921)
1468: (x, y) = (-9.30762, -64.0015)
1469: (x, y) = (-9.89237, -62.0889)
1470: (x, y) = (-8.89237, -60.3568)
1471: (x, y) = (-8.40852, -62.2974)
1472: (x, y) = (-6.51749, -61.6463)
1473: (x, y) = (-4.5251, -61.8206)
1474: (x, y) = (-6.36611, -61.0391)
1475: (x, y) = (-4.7278, -59.892)
1476: (x, y) = (-2.83676, -60.5431)
1477: (x, y) = (-1.30468, -59.2575)
1478: (x, y) = (0.427375, -60.2575)
1479: (x, y) = (1.33536, -62.0396)
1480: (x, y) = (3.10125, -62.9785)
1481: (x, y) = (4.04019, -61.2126)
1482: (x, y) = (6.01557, -60.8997)
1483: (x, y) = (8.01435, -60.9695)
1484: (x, y) = (9.93688, -61.5208)
1485: (x, y) = (11.249, -60.0114)
1486: (x, y) = (13.14, -60.6625)
1487: (x, y) = (13.1749, -58.6628)
1488: (x, y) = (13.4187, -56.6777)
1489: (x, y) = (12.7346, -54.7984)
1490: (x, y) = (14.5472, -55.6436)
1491: (x, y) = (16.4791, -55.126)
1492: (x, y) = (17.0304, -57.0485)
1493: (x, y) = (18.8975, -56.3317)
1494: (x, y) = (18.5847, -54.3564)
1495: (x, y) = (16.6041, -54.078)
1496: (x, y) = (15.1414, -52.714)
1497: (x, y) = (15.7926, -50.823)
1498: (x, y) = (15.2749, -48.8911)
1499: (x, y) = (16.8292, -50.1498)
1500: (x, y) = (14.8304, -50.08)
1501: (x, y) = (12.8986, -49.5623)
1502: (x, y) = (12.0533, -51.375)
1503: (x, y) = (12.7701, -49.5078)
1504: (x, y) = (10.879, -48.8567)
1505: (x, y) = (11.0186, -50.8518)
1506: (x, y) = (10.5347, -48.9112)
1507: (x, y) = (8.95869, -47.6799)
1508: (x, y) = (10.348, -49.1186)
1509: (x, y) = (10.8656, -47.1867)
1510: (x, y) = (12.1778, -48.6961)
1511: (x, y) = (10.3234, -47.9469)
1512: (x, y) = (8.86069, -46.5829)
1513: (x, y) = (10.415, -47.8416)
1514: (x, y) = (8.58789, -47.0281)
1515: (x, y) = (10.573, -47.2718)
1516: (x, y) = (9.63404, -49.0377)
1517: (x, y) = (11.6094, -48.7248)
1518: (x, y) = (11.8878, -46.7443)
1519: (x, y) = (13.5261, -47.8915)
1520: (x, y) = (15.5066, -48.1698)
1521: (x, y) = (16.5664, -46.4737)
1522: (x, y) = (18.4575, -47.1248)
1523: (x, y) = (16.7254, -46.1248)
1524: (x, y) = (17.107, -44.1616)
1525: (x, y) = (18.4453, -45.6479)
1526: (x, y) = (16.5047, -46.1317)
1527: (x, y) = (16.5396, -44.132)
1528: (x, y) = (18.3806, -43.3506)
1529: (x, y) = (19.3502, -45.0998)
1530: (x, y) = (20.6358, -43.5677)
1531: (x, y) = (21.1871, -41.6452)
1532: (x, y) = (20.6695, -39.7133)
1533: (x, y) = (18.7207, -39.2634)
1534: (x, y) = (20.6526, -38.7458)
1535: (x, y) = (20.5131, -40.7409)
1536: (x, y) = (20.8259, -38.7656)
1537: (x, y) = (22.8065, -39.0439)
1538: (x, y) = (23.1538, -41.0135)
1539: (x, y) = (23.084, -43.0123)
1540: (x, y) = (23.8654, -41.1713)
1541: (x, y) = (23.4155, -39.2225)
1542: (x, y) = (24.229, -37.3955)
1543: (x, y) = (24.7128, -35.4549)
1544: (x, y) = (25.5896, -37.2525)
1545: (x, y) = (25.4153, -35.2601)
1546: (x, y) = (26.4453, -36.9744)
1547: (x, y) = (24.4466, -36.9046)
1548: (x, y) = (26.2737, -37.7181)
1549: (x, y) = (28.1147, -36.9366)
1550: (x, y) = (30.0372, -36.3853)
1551: (x, y) = (28.1578, -37.0694)
1552: (x, y) = (29.5218, -38.5321)
1553: (x, y) = (28.2097, -40.0415)
1554: (x, y) = (30.1851, -40.3544)
1555: (x, y) = (31.8624, -39.2651)
1556: (x, y) = (29.8627, -39.3)
1557: (x, y) = (27.8703, -39.4743)
1558: (x, y) = (29.8594, -39.6834)
1559: (x, y) = (30.3093, -37.7346)
1560: (x, y) = (32.3065, -37.8393)
1561: (x, y) = (33.7452, -36.45)
1562: (x, y) = (31.996, -35.4804)
1563: (x, y) = (31.5801, -33.5241)
1564: (x, y) = (29.8658, -34.5541)
1565: (x, y) = (31.4418, -33.3228)
1566: (x, y) = (30.4418, -35.0549)
1567: (x, y) = (31.191, -36.9092)
1568: (x, y) = (32.9231, -35.9092)
1569: (x, y) = (34.6192, -34.8494)
1570: (x, y) = (32.7398, -35.5334)
1571: (x, y) = (34.4541, -36.5635)
1572: (x, y) = (33.0399, -35.1493)
1573: (x, y) = (31.5305, -33.8372)
1574: (x, y) = (31.7742, -35.8223)
1575: (x, y) = (32.3923, -33.9202)
1576: (x, y) = (31.2167, -35.5382)
1577: (x, y) = (29.6407, -36.7695)
1578: (x, y) = (28.5808, -35.0734)
1579: (x, y) = (26.8488, -36.0734)
1580: (x, y) = (25.9098, -37.8393)
1581: (x, y) = (27.8795, -37.492)
1582: (x, y) = (28.3294, -39.4408)
1583: (x, y) = (26.3975, -39.9584)
1584: (x, y) = (25.3674, -41.6727)
1585: (x, y) = (25.507, -43.6679)
1586: (x, y) = (25.1597, -41.6982)
1587: (x, y) = (26.1293, -39.949)
1588: (x, y) = (27.8785, -40.9186)
1589: (x, y) = (29.5366, -42.037)
1590: (x, y) = (31.5062, -41.6897)
1591: (x, y) = (29.6268, -42.3738)
1592: (x, y) = (31.5964, -42.0265)
1593: (x, y) = (29.7054, -41.3753)
1594: (x, y) = (30.7652, -43.0714)
1595: (x, y) = (30.6606, -41.0742)
1596: (x, y) = (31.3117, -39.1831)
1597: (x, y) = (29.3129, -39.2529)
1598: (x, y) = (31.1105, -38.3762)
1599: (x, y) = (30.6947, -36.4199)
1600: (x, y) = (30.8342, -34.4248)
1601: (x, y) = (30.5558, -32.4442)
1602: (x, y) = (31.207, -30.5532)
1603: (x, y) = (29.7207, -31.8914)
1604: (x, y) = (29.0696, -30.0004)
1605: (x, y) = (31.0328, -30.382)
1606: (x, y) = (29.0922, -29.8982)
1607: (x, y) = (31.0048, -30.4829)
1608: (x, y) = (29.2228, -31.3909)
1609: (x, y) = (27.3434, -30.7069)
1610: (x, y) = (28.1569, -28.8798)
1611: (x, y) = (29.7112, -30.1384)
1612: (x, y) = (27.7358, -29.8255)
1613: (x, y) = (29.6991, -30.2072)
1614: (x, y) = (31.4483, -29.2375)
1615: (x, y) = (32.7339, -27.7055)
1616: (x, y) = (31.3197, -26.2912)
1617: (x, y) = (33.3194, -26.2563)
1618: (x, y) = (35.232, -26.8411)
1619: (x, y) = (37.0864, -27.5903)
1620: (x, y) = (38.7824, -28.6501)
1621: (x, y) = (40.7675, -28.8939)
1622: (x, y) = (38.7678, -28.859)
1623: (x, y) = (40.6222, -29.6082)
1624: (x, y) = (42.4198, -28.7314)
1625: (x, y) = (44.4049, -28.9752)
1626: (x, y) = (45.5233, -30.6333)
1627: (x, y) = (45.2449, -28.6527)
1628: (x, y) = (46.5832, -27.1664)
1629: (x, y) = (44.7288, -27.9156)
1630: (x, y) = (42.8494, -28.5997)
1631: (x, y) = (41.4601, -27.161)
1632: (x, y) = (42.4601, -28.8931)
1633: (x, y) = (42.495, -30.8927)
1634: (x, y) = (44.4902, -31.0323)
1635: (x, y) = (45.7757, -29.5002)
1636: (x, y) = (44.4375, -28.0139)
1637: (x, y) = (46.0955, -26.8955)
1638: (x, y) = (45.9212, -28.8879)
1639: (x, y) = (44.2251, -29.9477)
1640: (x, y) = (42.2933, -30.4654)
1641: (x, y) = (44.0425, -31.435)
1642: (x, y) = (42.0574, -31.1912)
1643: (x, y) = (40.9976, -32.8873)
1644: (x, y) = (39.0413, -33.3032)
1645: (x, y) = (37.1869, -34.0524)
1646: (x, y) = (37.805, -35.9545)
1647: (x, y) = (39.4823, -37.0438)
1648: (x, y) = (39.9662, -35.1032)
1649: (x, y) = (40.0359, -37.102)
1650: (x, y) = (38.0372, -37.0322)
1651: (x, y) = (39.4758, -35.6428)
1652: (x, y) = (38.0131, -34.2788)
1653: (x, y) = (36.701, -35.7883)
1654: (x, y) = (36.1497, -37.7108)
1655: (x, y) = (34.2272, -37.1595)
1656: (x, y) = (32.7409, -38.4978)
1657: (x, y) = (30.8388, -39.1158)
1658: (x, y) = (30.5605, -41.0963)
1659: (x, y) = (30.5605, -43.0963)
1660: (x, y) = (32.0926, -41.8108)
1661: (x, y) = (31.6767, -39.8545)
1662: (x, y) = (33.091, -38.4403)
1663: (x, y) = (31.4136, -39.5295)
1664: (x, y) = (30.5684, -41.3422)
1665: (x, y) = (30.673, -43.3394)
1666: (x, y) = (29.2588, -41.9252)
1667: (x, y) = (28.5748, -43.8046)
1668: (x, y) = (29.8061, -45.3806)
1669: (x, y) = (31.3382, -44.095)
1670: (x, y) = (30.9224, -42.1387)
1671: (x, y) = (32.8542, -41.6211)
1672: (x, y) = (31.9775, -43.4187)
1673: (x, y) = (32.1518, -45.4111)
1674: (x, y) = (31.5671, -47.3237)
1675: (x, y) = (32.0509, -45.3831)
1676: (x, y) = (34.0205, -45.7304)
1677: (x, y) = (35.2241, -44.1331)
1678: (x, y) = (35.4332, -46.1222)
1679: (x, y) = (36.2467, -44.2951)
1680: (x, y) = (37.885, -45.4422)
1681: (x, y) = (39.5431, -46.5606)
1682: (x, y) = (41.4452, -47.1786)
1683: (x, y) = (40.9953, -45.2299)
1684: (x, y) = (39.0634, -45.7475)
1685: (x, y) = (37.945, -47.4056)
1686: (x, y) = (36.4356, -46.0935)
1687: (x, y) = (37.5249, -44.4162)
1688: (x, y) = (38.7285, -46.0134)
1689: (x, y) = (40.2379, -44.7013)
1690: (x, y) = (41.934, -45.7611)
1691: (x, y) = (40.3797, -47.0198)
1692: (x, y) = (42.3116, -46.5022)
1693: (x, y) = (41.4664, -48.3148)
1694: (x, y) = (42.0844, -46.4127)
1695: (x, y) = (41.7371, -48.3823)
1696: (x, y) = (39.8827, -47.6331)
1697: (x, y) = (38.1007, -48.541)
1698: (x, y) = (36.3687, -47.541)
1699: (x, y) = (38.223, -48.2903)
1700: (x, y) = (37.223, -46.5582)
1701: (x, y) = (36.1046, -44.9001)
1702: (x, y) = (38.0897, -45.1439)
1703: (x, y) = (40.0849, -45.0044)
1704: (x, y) = (41.617, -43.7188)
1705: (x, y) = (40.678, -41.9529)
1706: (x, y) = (42.0163, -43.4392)
1707: (x, y) = (41.7379, -45.4197)
1708: (x, y) = (39.7574, -45.1414)
1709: (x, y) = (39.4101, -43.1717)
1710: (x, y) = (37.5307, -43.8558)
1711: (x, y) = (39.5061, -43.5429)
1712: (x, y) = (40.445, -45.3088)
1713: (x, y) = (38.4462, -45.3786)
1714: (x, y) = (37.697, -43.5242)
1715: (x, y) = (36.333, -42.0615)
1716: (x, y) = (37.0171, -43.9409)
1717: (x, y) = (35.9278, -42.2636)
1718: (x, y) = (36.8358, -40.4816)
1719: (x, y) = (35.7465, -42.1589)
1720: (x, y) = (33.824, -41.6076)
1721: (x, y) = (33.5802, -43.5927)
1722: (x, y) = (33.3365, -41.6076)
1723: (x, y) = (31.3368, -41.5727)
1724: (x, y) = (29.6407, -40.5129)
1725: (x, y) = (31.1501, -39.2008)
1726: (x, y) = (32.4884, -40.6871)
1727: (x, y) = (30.4896, -40.6173)
1728: (x, y) = (29.4595, -38.9029)
1729: (x, y) = (31.2571, -39.7797)
1730: (x, y) = (29.4161, -38.9982)
1731: (x, y) = (28.4465, -40.7474)
1732: (x, y) = (28.1336, -38.7721)
1733: (x, y) = (29.988, -38.0229)
1734: (x, y) = (29.08, -36.2408)
1735: (x, y) = (31.0433, -35.8592)
1736: (x, y) = (29.489, -34.6006)
1737: (x, y) = (30.5191, -36.3149)
1738: (x, y) = (30.6237, -38.3122)
1739: (x, y) = (31.9877, -39.7749)
1740: (x, y) = (33.474, -38.4366)
1741: (x, y) = (32.6925, -36.5956)
1742: (x, y) = (34.2686, -37.8269)
1743: (x, y) = (36.148, -38.511)
1744: (x, y) = (36.9932, -40.3236)
1745: (x, y) = (38.1968, -41.9209)
1746: (x, y) = (40.1374, -42.4047)
1747: (x, y) = (38.7232, -43.8189)
1748: (x, y) = (39.4072, -41.9395)
1749: (x, y) = (40.7194, -40.4301)
1750: (x, y) = (42.532, -41.2754)
1751: (x, y) = (41.9472, -39.3627)
1752: (x, y) = (43.2855, -40.849)
1753: (x, y) = (44.4039, -42.5071)
1754: (x, y) = (44.9552, -44.4296)
1755: (x, y) = (46.721, -45.3686)
1756: (x, y) = (48.6529, -45.8862)
1757: (x, y) = (47.9689, -44.0068)
1758: (x, y) = (46.2368, -43.0068)
1759: (x, y) = (45.6855, -41.0843)
1760: (x, y) = (45.8598, -39.0919)
1761: (x, y) = (47.0635, -40.6892)
1762: (x, y) = (45.5092, -41.9478)
1763: (x, y) = (43.5141, -42.0873)
1764: (x, y) = (45.2461, -43.0873)
1765: (x, y) = (47.0732, -43.9008)
1766: (x, y) = (45.1413, -44.4185)
1767: (x, y) = (44.4246, -42.5513)
1768: (x, y) = (42.6926, -41.5513)
1769: (x, y) = (44.5719, -42.2353)
1770: (x, y) = (45.4487, -44.0329)
1771: (x, y) = (46.3254, -42.2353)
1772: (x, y) = (46.2208, -40.2381)
1773: (x, y) = (45.8049, -42.1944)
1774: (x, y) = (46.014, -44.1834)
1775: (x, y) = (45.6667, -46.153)
1776: (x, y) = (46.1166, -44.2043)
1777: (x, y) = (45.8382, -46.1848)
1778: (x, y) = (44.6911, -44.5465)
1779: (x, y) = (42.995, -43.4867)
1780: (x, y) = (40.9977, -43.5914)
1781: (x, y) = (42.7636, -44.5303)
1782: (x, y) = (42.246, -46.4621)
1783: (x, y) = (40.8318, -45.0479)
1784: (x, y) = (41.0408, -47.037)
1785: (x, y) = (42.2445, -45.4397)
1786: (x, y) = (41.6597, -43.5271)
1787: (x, y) = (40.2704, -42.0884)
1788: (x, y) = (38.3479, -41.5371)
1789: (x, y) = (37.0623, -40.0051)
1790: (x, y) = (36.3131, -38.1507)
1791: (x, y) = (35.283, -36.4364)
1792: (x, y) = (35.7329, -34.4876)
1793: (x, y) = (37.4988, -35.4266)
1794: (x, y) = (35.5016, -35.3219)
1795: (x, y) = (35.8144, -37.2973)
1796: (x, y) = (33.8144, -37.2973)
1797: (x, y) = (35.7707, -36.8814)
1798: (x, y) = (37.5028, -35.8814)
1799: (x, y) = (39.2348, -36.8814)
1800: (x, y) = (37.7961, -38.2708)
1801: (x, y) = (35.894, -38.8888)
1802: (x, y) = (37.5521, -37.7704)
1803: (x, y) = (39.0148, -39.1344)
1804: (x, y) = (38.7711, -37.1493)
1805: (x, y) = (40.0832, -38.6587)
1806: (x, y) = (38.4859, -39.8624)
1807: (x, y) = (39.8752, -38.4237)
1808: (x, y) = (40.0496, -36.4313)
1809: (x, y) = (38.3915, -37.5497)
1810: (x, y) = (39.205, -35.7226)
1811: (x, y) = (39.17, -37.7223)
1812: (x, y) = (37.185, -37.966)
1813: (x, y) = (35.2362, -38.4159)
1814: (x, y) = (35.4453, -40.405)
1815: (x, y) = (37.2579, -41.2502)
1816: (x, y) = (36.4764, -43.0912)
1817: (x, y) = (35.9926, -45.0318)
1818: (x, y) = (35.3414, -43.1408)
1819: (x, y) = (35.7913, -45.0895)
1820: (x, y) = (37.5889, -44.2128)
1821: (x, y) = (36.1026, -45.551)
1822: (x, y) = (37.5413, -44.1617)
1823: (x, y) = (39.3539, -45.0069)
1824: (x, y) = (40.1674, -43.1798)
1825: (x, y) = (38.658, -44.492)
1826: (x, y) = (38.1404, -46.4238)
1827: (x, y) = (37.3269, -48.2509)
1828: (x, y) = (36.8092, -46.3191)
1829: (x, y) = (34.9682, -45.5376)
1830: (x, y) = (35.0031, -43.5379)
1831: (x, y) = (36.7175, -44.568)
1832: (x, y) = (38.7126, -44.7075)
1833: (x, y) = (37.6233, -43.0301)
1834: (x, y) = (35.769, -42.2809)
1835: (x, y) = (37.4073, -43.4281)
1836: (x, y) = (38.5828, -45.0461)
1837: (x, y) = (40.5147, -44.5285)
1838: (x, y) = (42.4779, -44.1469)
1839: (x, y) = (42.2689, -46.1359)
1840: (x, y) = (41.8873, -44.1727)
1841: (x, y) = (42.3031, -42.2164)
1842: (x, y) = (40.318, -41.9726)
1843: (x, y) = (40.936, -43.8747)
1844: (x, y) = (40.9709, -45.8744)
1845: (x, y) = (41.0058, -43.8747)
1846: (x, y) = (39.5672, -42.4854)
1847: (x, y) = (41.2992, -41.4854)
1848: (x, y) = (43.2311, -42.0031)
1849: (x, y) = (42.3858, -43.8157)
1850: (x, y) = (43.7498, -45.2784)
1851: (x, y) = (42.8418, -47.0604)
1852: (x, y) = (44.709, -47.7771)
1853: (x, y) = (43.3969, -49.2865)
1854: (x, y) = (41.8426, -50.5452)
1855: (x, y) = (43.2568, -49.131)
1856: (x, y) = (44.8328, -50.3623)
1857: (x, y) = (44.0194, -48.5352)
1858: (x, y) = (44.7686, -50.3896)
1859: (x, y) = (45.7382, -52.1388)
1860: (x, y) = (45.7731, -54.1385)
1861: (x, y) = (47.6402, -53.4218)
1862: (x, y) = (46.1082, -52.1362)
1863: (x, y) = (46.0035, -54.1335)
1864: (x, y) = (47.926, -53.5822)
1865: (x, y) = (48.865, -55.3481)
1866: (x, y) = (48.3811, -53.4075)
1867: (x, y) = (46.4493, -53.9251)
1868: (x, y) = (44.4569, -54.0994)
1869: (x, y) = (43.5801, -52.3018)
1870: (x, y) = (43.2673, -50.3265)
1871: (x, y) = (43.852, -52.2391)
1872: (x, y) = (44.6655, -50.412)
1873: (x, y) = (43.0474, -49.2364)
1874: (x, y) = (43.1521, -47.2392)
1875: (x, y) = (44.9931, -48.0206)
1876: (x, y) = (43.7895, -49.6179)
1877: (x, y) = (42.3268, -50.9819)
1878: (x, y) = (41.3268, -52.7139)
1879: (x, y) = (41.2919, -50.7142)
1880: (x, y) = (40.6407, -48.8232)
1881: (x, y) = (38.692, -49.2731)
1882: (x, y) = (36.8944, -50.1499)
1883: (x, y) = (38.4265, -51.4354)
1884: (x, y) = (39.2717, -53.248)
1885: (x, y) = (40.117, -51.4354)
1886: (x, y) = (42.106, -51.2264)
1887: (x, y) = (41.6561, -53.1751)
1888: (x, y) = (39.6564, -53.1402)
1889: (x, y) = (40.5954, -54.9061)
1890: (x, y) = (41.3121, -53.0389)
1891: (x, y) = (42.9094, -54.2426)
1892: (x, y) = (40.9461, -54.6242)
1893: (x, y) = (39.1969, -55.5938)
1894: (x, y) = (38.7811, -53.6375)
1895: (x, y) = (39.1627, -51.6743)
1896: (x, y) = (37.4666, -50.6144)
1897: (x, y) = (35.6846, -51.5224)
1898: (x, y) = (34.0265, -50.404)
1899: (x, y) = (35.8085, -51.312)
1900: (x, y) = (33.8767, -51.8296)
1901: (x, y) = (33.0314, -53.6422)
1902: (x, y) = (31.6932, -52.156)
1903: (x, y) = (31.3803, -54.1313)
1904: (x, y) = (33.1295, -53.1617)
1905: (x, y) = (31.5974, -54.4473)
1906: (x, y) = (30.9134, -52.5679)
1907: (x, y) = (29.4992, -51.1537)
1908: (x, y) = (29.7429, -49.1686)
1909: (x, y) = (31.7125, -49.5159)
1910: (x, y) = (31.4342, -47.5354)
1911: (x, y) = (32.3109, -45.7378)
1912: (x, y) = (30.3158, -45.8773)
1913: (x, y) = (31.4342, -47.5354)
1914: (x, y) = (33.2468, -46.6901)
1915: (x, y) = (35.2222, -47.003)
1916: (x, y) = (37.1918, -46.6557)
1917: (x, y) = (36.9481, -48.6408)
1918: (x, y) = (35.9481, -46.9087)
1919: (x, y) = (36.9177, -45.1595)
1920: (x, y) = (35.0505, -45.8762)
1921: (x, y) = (33.0751, -46.1891)
1922: (x, y) = (32.5913, -48.1297)
1923: (x, y) = (32.3822, -50.1187)
1924: (x, y) = (33.9365, -48.8601)
1925: (x, y) = (35.9362, -48.895)
1926: (x, y) = (34.2979, -50.0422)
1927: (x, y) = (32.3128, -50.2859)
1928: (x, y) = (32.7287, -48.3296)
1929: (x, y) = (34.7274, -48.2598)
1930: (x, y) = (36.4235, -47.2)
1931: (x, y) = (36.5282, -49.1972)
1932: (x, y) = (35.5586, -47.448)
1933: (x, y) = (33.6267, -46.9303)
1934: (x, y) = (31.6377, -46.7213)
1935: (x, y) = (33.5049, -46.0046)
1936: (x, y) = (35.3175, -45.1593)
1937: (x, y) = (35.8013, -47.0999)
1938: (x, y) = (37.5672, -46.161)
1939: (x, y) = (39.4466, -46.845)
1940: (x, y) = (39.6209, -48.8374)
1941: (x, y) = (38.4453, -47.2194)
1942: (x, y) = (38.6891, -49.2045)
1943: (x, y) = (40.4383, -50.1741)
1944: (x, y) = (41.4981, -51.8702)
1945: (x, y) = (42.558, -53.5663)
1946: (x, y) = (40.6174, -54.0501)
1947: (x, y) = (38.6223, -54.1896)
1948: (x, y) = (36.8097, -55.0349)
1949: (x, y) = (38.199, -56.4735)
1950: (x, y) = (37.26, -54.7076)
